"lipid","log2FC","minus_log10_pvalue"
"PE(34:3)",1.1302442646049,0.571865205971211
"PE(34:3)",2.35568465555714,2.13018179202067
"Cer(41:0)",-0.569112284614324,0.218963061378868
"PE(34:2)",0.996751644434863,0.818156412055227
"HexCer(34:1)",-0.737305774703731,0.294992040666664
"PE(34:1)",0.575195773580791,0.40340290437354
"PE(O-36:7)",-0.33970374793671,0.186419011431808
"PE(34:0)",-0.856700253465608,0.627087997029893
"SM(31:1)",0.387567692921053,0.140261433802853
"PE(O-36:6)",0.0729439448184834,0.0390538042661686
"PE(O-36:6)",-0.127795109792402,0.0343280287798933
"Cer(43:2)",0.499910036018505,0.198596289982645
"PE(O-36:5)",-0.23650062193007,0.161150909262745
"PE(O-36:5)",-1.3860062585558,0.764471553092451
"Cer(42:2)",-0.259232269188558,0.0931264652779296
"Cer(43:1)",0.856909461255903,0.51427857351842
"FA(15:0)",0.68610159622736,0.696803942579511
"Cer(42:1)",-1.17457615822636,0.518557371497695
"Cer(43:0)",-0.875270018550751,0.46344155742847
"PE(O-36:3)",-1.29998357487065,1.13430394008393
"Cer(42:0)",-0.727978467539785,0.326058001365912
"PE(35:2)",0.128657469683681,0.0574958938319193
"PE(O-36:2)",-2.07977832098421,1.26760624017703
"PE(O-36:1)",-1.68793076368826,0.97469413473523
"SM(32:2)",0.770704284678885,0.34008379993015
"PE(O-37:7)",0.575144450338474,0.180456064458131
"HexCer(34:0)",-1.13148145980709,0.744727494896694
"PE(O-36:0)",-1.71170193915952,0.565431095965801
"SM(32:1)",0.698726072144979,0.296708621881339
"PE(O-37:6)",-1.65206992720899,1.18575240426808
"Cer(44:2)",1.05418117211259,0.54821356447571
"SM(32:0)",1.53641477285214,0.489454989793388
"PE(36:5)",0.958153127335606,0.663540266151471
"PE(36:5)",0.878996140918218,0.84163750790475
"PE(O-37:5)",-0.435170313930485,0.249491605148654
"Cer(44:1)",0.608503914347938,0.387216143280265
"PE(36:4)",0.529687650633157,0.394694953858891
"PE(36:4)",1.48412503197666,0.950781977329818
"Cer(44:0)",-0.0467624716941195,0.0264103765727431
"FA(14:0)",0.761176162765022,0.679853713888946
"PE(36:3)",0.787807199937166,0.478861916295964
"PE(36:3)",1.04599778972551,1.0017406615763
"PG(15:0_18:1(d7))",0.588963458434275,0.410050398674292
"Cer(43:0)",-0.48198613110792,0.0915149811213502
"PE(36:2)",-0.0249739070616322,0.0145735259169983
"PE(O-37:2)",-1.76275157551291,0.950781977329818
"PE-Cer(40:1)",0.830755407204652,0.296708621881339
"PE(36:1)",-0.862907513182378,0.602059991327962
"HexCer(33:1)",0.881793293077152,0.300162274132754
"PE(O-37:1)",-1.48208513090415,0.712198270069774
"PG(34:2)",-1.3269196269987,1.08039897621589
"PE(O-38:7)",-0.655536258198257,0.443697499232713
"PE(O-38:7)",0.0604450945642512,0.0282604091122217
"PG(34:1)",-0.396702009552502,0.209714835966758
"SM(33:1)",0.0675276225314647,0.0287241512618947
